Week,cold,holiday,summer,spring,fireworks
2017-01-01,19,29,12,12,12
2017-01-08,22,24,13,13,1
2017-01-15,16,29,16,13,1
2017-01-22,13,17,11,14,4
2017-01-29,14,13,17,13,2
2017-02-05,16,14,13,16,1
2017-02-12,12,12,14,22,1
2017-02-19,18,15,15,23,1
2017-02-26,13,15,16,27,2
2017-03-05,17,13,21,32,1
2017-03-12,15,14,20,35,2
2017-03-19,13,12,22,56,1
2017-03-26,11,12,27,29,2
2017-04-02,12,17,33,24,1
2017-04-09,13,21,28,29,1
2017-04-16,13,21,26,23,1
2017-04-23,11,19,26,20,2
2017-04-30,12,15,28,15,3
2017-05-07,14,16,28,14,2
2017-05-14,12,14,29,13,4
2017-05-21,12,17,33,14,5
2017-05-28,14,19,38,13,4
2017-06-04,14,14,42,11,4
2017-06-11,11,17,35,12,5
2017-06-18,12,20,69,9,5
2017-06-25,12,25,50,10,28
2017-07-02,10,20,67,10,100
2017-07-09,10,16,69,10,4
2017-07-16,12,19,50,13,3
2017-07-23,10,23,34,9,3
2017-07-30,11,18,38,10,4
2017-08-06,12,22,40,12,3
2017-08-13,12,20,30,10,3
2017-08-20,12,24,30,9,2
2017-08-27,14,48,21,19,2
2017-09-03,13,17,16,11,4
2017-09-10,10,18,15,12,3
2017-09-17,13,35,14,10,2
2017-09-24,12,17,13,13,2
2017-10-01,12,19,13,10,3
2017-10-08,14,18,15,13,5
2017-10-15,11,20,12,10,6
2017-10-22,14,23,13,10,5
2017-10-29,16,38,14,12,13
2017-11-05,15,45,12,15,7
2017-11-12,15,34,11,13,2
2017-11-19,15,29,12,10,3
2017-11-26,18,43,10,11,3
2017-12-03,19,43,9,12,2
2017-12-10,16,31,11,9,2
2017-12-17,19,30,12,11,3
2017-12-24,31,35,13,11,9
2017-12-31,53,41,11,16,44
